,value
146,-6.105
147,-6.07
148,-6.065
149,-6.06
150,-6.045
151,-6.02
152,-6.01
153,-6.005
154,-6.015
155,-6.015
156,-6.01
157,-6.01
158,-6.01
159,-6.01
160,-6.0
161,-5.985
162,-5.98
163,-5.975
164,-5.96
165,-5.96
166,-5.94
167,-5.905
168,-5.875
169,-5.865
170,-5.825
171,-5.77
172,-5.73
173,-5.69
174,-5.655
175,-5.62
176,-5.61
177,-5.585
178,-5.57
179,-5.55
180,-5.52
181,-5.485
182,-5.465
183,-5.46
184,-5.465
185,-5.48
186,-5.5
187,-5.52
188,-5.53
189,-5.55
190,-5.565
191,-5.575
192,-5.595
193,-5.61
194,-5.635
195,-5.66
196,-5.695
197,-5.72
198,-5.725
199,-5.75
200,-5.76
201,-5.775
202,-5.785
203,-5.8
204,-5.8
205,-5.81
206,-5.81
207,-5.825
208,-5.845
209,-5.865
210,-5.87
211,-5.86
212,-5.87
213,-5.865
214,-5.875
215,-5.87
216,-5.875
217,-5.88
218,-5.87
219,-5.86
220,-5.85
221,-5.845
222,-5.84
223,-5.83
224,-5.82
225,-5.81
226,-5.81
227,-5.805
228,-5.805
229,-5.8
230,-5.8
231,-5.795
232,-5.785
233,-5.76
234,-5.75
235,-5.75
236,-5.745
237,-5.755
238,-5.755
239,-5.74
240,-5.72
241,-5.705
242,-5.69
243,-5.69
244,-5.7
245,-5.715
246,-5.715
247,-5.715
248,-5.72
249,-5.74
250,-5.76
251,-5.78
252,-5.795
253,-5.815
254,-5.835
255,-5.86
256,-5.89
257,-5.89
258,-5.88
259,-5.885
260,-5.885
261,-5.89
262,-5.895
263,-5.885
264,-5.885
265,-5.88
266,-5.875
267,-5.87
268,-5.88
269,-5.895
270,-5.9
271,-5.855
272,-5.735
273,-5.595
274,-5.4
275,-5.105
276,-4.71
277,-4.34
278,-4.105
279,-4.01
280,-4.02
281,-4.2
282,-4.505
283,-4.935
284,-5.395
285,-5.84
286,-6.15
287,-6.25
288,-6.24
289,-6.24
290,-6.235
291,-6.215
292,-6.17
293,-6.12
294,-6.085
295,-6.075
296,-6.065
297,-6.06
298,-6.055
299,-6.055
300,-6.055
301,-6.05
302,-6.045
303,-6.035
304,-6.03
305,-6.025
306,-6.015
307,-6.015
308,-6.005
309,-6.0
310,-5.99
311,-5.99
312,-5.97
313,-5.955
314,-5.94
315,-5.915
316,-5.885
317,-5.865
318,-5.84
319,-5.8
320,-5.765
321,-5.725
322,-5.68
323,-5.635
324,-5.615
325,-5.58
326,-5.56
327,-5.545
328,-5.52
329,-5.515
330,-5.505
331,-5.51
332,-5.505
333,-5.5
334,-5.51
335,-5.52
336,-5.54
337,-5.55
338,-5.565
339,-5.58
340,-5.6
341,-5.62
342,-5.64
343,-5.665
344,-5.69
345,-5.71
346,-5.725
347,-5.74
348,-5.755
349,-5.765
350,-5.775
351,-5.78
352,-5.79
353,-5.8
354,-5.81
355,-5.815
356,-5.81
357,-5.815
358,-5.82
359,-5.835
360,-5.835
361,-5.835
362,-5.835
363,-5.835
364,-5.83
365,-5.825
366,-5.82
367,-5.81
368,-5.81
369,-5.805
370,-5.805
371,-5.8
372,-5.795
373,-5.785
374,-5.77
375,-5.76
376,-5.76
377,-5.76
378,-5.745
379,-5.735
380,-5.725
381,-5.715
382,-5.695
383,-5.685
384,-5.68
385,-5.68
386,-5.68
387,-5.68
388,-5.67
389,-5.65
390,-5.63
391,-5.625
392,-5.635
393,-5.635
394,-5.635
395,-5.635
396,-5.64
397,-5.66
398,-5.68
399,-5.7
400,-5.715
401,-5.725
402,-5.74
403,-5.76
404,-5.78
405,-5.795
406,-5.805
407,-5.825
408,-5.845
409,-5.865
410,-5.895
411,-5.92
412,-5.925
413,-5.885
414,-5.805
415,-5.705
416,-5.58
417,-5.425
418,-5.23
419,-4.97
420,-4.65
421,-4.36
422,-4.14
423,-4.0
424,-3.94
425,-3.96
426,-4.075
427,-4.34
428,-4.8
429,-5.27
430,-5.64
431,-5.835
432,-6.005
433,-6.13
434,-6.2
435,-6.215
436,-6.165
437,-6.075
438,-6.025
439,-6.005
440,-6.005
441,-6.005
442,-6.005
443,-6.005
444,-6.015
445,-6.015
446,-6.02
447,-6.025
448,-6.035
449,-6.045
450,-6.045
451,-6.05
452,-6.05
453,-6.055
454,-6.06
455,-6.065
456,-6.065
457,-6.07
458,-6.07
459,-6.065
460,-6.065
461,-6.055
462,-6.045
463,-6.035
464,-6.01
465,-5.99
466,-5.965
467,-5.935
468,-5.905
469,-5.88
470,-5.85
471,-5.825
472,-5.795
473,-5.76
474,-5.735
475,-5.7
476,-5.68
477,-5.66
478,-5.64
479,-5.635
480,-5.625
481,-5.625
482,-5.615
483,-5.61
484,-5.615
485,-5.615
486,-5.62
487,-5.615
488,-5.625
489,-5.63
490,-5.635
491,-5.64
492,-5.655
493,-5.66
494,-5.67
495,-5.68
496,-5.69
497,-5.7
498,-5.715
499,-5.72
500,-5.735
501,-5.74
502,-5.75
503,-5.755
504,-5.76
505,-5.765
506,-5.775
507,-5.785
508,-5.795
509,-5.8
510,-5.8
511,-5.8
512,-5.8
513,-5.8
514,-5.8
515,-5.8
516,-5.795
517,-5.795
518,-5.79
519,-5.785
520,-5.785
521,-5.78
522,-5.78
523,-5.77
524,-5.77
525,-5.76
526,-5.755
527,-5.74
528,-5.73
529,-5.72
530,-5.705
531,-5.695
532,-5.69
533,-5.69
534,-5.7
535,-5.69
536,-5.68
537,-5.655
538,-5.635
539,-5.62
540,-5.625
541,-5.63
542,-5.63
543,-5.63
544,-5.635
545,-5.645
546,-5.665
547,-5.685
548,-5.7
549,-5.725
550,-5.75
551,-5.76
552,-5.79
553,-5.805
554,-5.81
555,-5.81
556,-5.815
557,-5.815
558,-5.815
559,-5.81
560,-5.805
561,-5.8
562,-5.8
563,-5.805
564,-5.805
565,-5.805
566,-5.825
567,-5.835
568,-5.785
569,-5.665
570,-5.525
571,-5.36
572,-5.06
573,-4.665
574,-4.3
575,-4.08
576,-4.0
577,-4.04
578,-4.24
579,-4.555
580,-4.965
581,-5.44
582,-5.855
583,-6.115
584,-6.19
585,-6.18
586,-6.18
587,-6.17
588,-6.13
589,-6.07
590,-6.015
591,-5.985
592,-5.98
593,-5.975
594,-5.97
595,-5.97
596,-5.96
597,-5.955
598,-5.955
599,-5.96
600,-5.96
601,-5.96
602,-5.96
603,-5.955
604,-5.95
605,-5.945
606,-5.94
607,-5.93
608,-5.915
609,-5.895
610,-5.88
611,-5.855
612,-5.825
613,-5.795
614,-5.76
615,-5.73
616,-5.695
617,-5.66
618,-5.625
619,-5.59
620,-5.56
621,-5.535
622,-5.515
623,-5.495
624,-5.465
625,-5.445
626,-5.43
627,-5.415
628,-5.405
629,-5.4
630,-5.4
631,-5.41
632,-5.425
633,-5.44
634,-5.46
635,-5.475
636,-5.495
637,-5.52
638,-5.55
639,-5.575
640,-5.6
641,-5.62
642,-5.645
643,-5.665
644,-5.685
645,-5.7
646,-5.72
647,-5.735
648,-5.75
649,-5.765
650,-5.775
651,-5.79
652,-5.805
653,-5.815
654,-5.82
655,-5.825
656,-5.83
657,-5.835
658,-5.835
659,-5.835
660,-5.835
661,-5.83
662,-5.82
663,-5.82
664,-5.82
665,-5.815
666,-5.805
667,-5.805
668,-5.8
669,-5.8
670,-5.795
671,-5.79
672,-5.78
673,-5.765
674,-5.75
675,-5.74
676,-5.73
677,-5.725
678,-5.725
679,-5.725
680,-5.71
681,-5.695
682,-5.67
683,-5.645
684,-5.635
685,-5.635
686,-5.645
687,-5.645
688,-5.645
689,-5.65
690,-5.66
691,-5.675
692,-5.69
693,-5.71
694,-5.73
695,-5.755
696,-5.78
697,-5.8
698,-5.82
699,-5.835
700,-5.84
701,-5.85
702,-5.855
703,-5.855
704,-5.86
705,-5.865
706,-5.87
707,-5.87
708,-5.87
709,-5.865
710,-5.86
711,-5.87
712,-5.885
713,-5.89
714,-5.825
715,-5.695
716,-5.555
717,-5.355
718,-5.03
719,-4.63
720,-4.3
721,-4.12
722,-4.08
723,-4.135
724,-4.355
725,-4.665
726,-5.08
727,-5.525
728,-5.93
729,-6.2
730,-6.3
731,-6.285
732,-6.28
733,-6.28
734,-6.255
735,-6.19
736,-6.12
737,-6.065
738,-6.045
739,-6.04
740,-6.035
741,-6.03
742,-6.025
743,-6.025
744,-6.03
745,-6.03
746,-6.025
747,-6.02
748,-6.02
749,-6.02
750,-6.015
751,-6.015
752,-6.0
753,-5.995
754,-5.98
755,-5.965
756,-5.945
757,-5.93
758,-5.91
759,-5.88
760,-5.85
761,-5.82
762,-5.795
763,-5.755
764,-5.72
765,-5.685
766,-5.66
767,-5.625
768,-5.6
769,-5.58
770,-5.565
771,-5.55
772,-5.54
773,-5.535
774,-5.53
775,-5.53
776,-5.53
777,-5.54
778,-5.555
779,-5.57
780,-5.58
781,-5.6
782,-5.625
783,-5.64
784,-5.66
785,-5.67
786,-5.69
787,-5.715
788,-5.73
789,-5.75
790,-5.77
791,-5.785
792,-5.8
793,-5.815
794,-5.825
795,-5.835
796,-5.84
797,-5.85
798,-5.855
799,-5.865
800,-5.875
801,-5.88
802,-5.885
803,-5.89
804,-5.885
805,-5.88
806,-5.895
807,-5.895
808,-5.905
809,-5.915
810,-5.915
811,-5.9
812,-5.89
813,-5.88
814,-5.875
815,-5.87
816,-5.865
817,-5.86
818,-5.85
819,-5.84
820,-5.83
821,-5.82
822,-5.805
823,-5.8
824,-5.795
825,-5.79
826,-5.795
827,-5.8
828,-5.79
829,-5.77
830,-5.745
831,-5.73
832,-5.73
833,-5.73
834,-5.72
835,-5.73
836,-5.735
837,-5.74
838,-5.755
839,-5.775
840,-5.785
841,-5.8
842,-5.825
843,-5.845
844,-5.865
845,-5.88
846,-5.89
847,-5.89
848,-5.895
849,-5.905
850,-5.9
851,-5.895
852,-5.895
853,-5.895
854,-5.9
855,-5.905
856,-5.91
857,-5.91
858,-5.92
859,-5.955
860,-5.945
861,-5.865
862,-5.73
863,-5.575
864,-5.34
865,-4.99
866,-4.6
867,-4.29
868,-4.14
869,-4.1
870,-4.17
871,-4.39
872,-4.73
873,-5.17
874,-5.635
875,-6.015
876,-6.25
877,-6.31
878,-6.3
879,-6.3
880,-6.3
881,-6.27
882,-6.22
883,-6.165
884,-6.12
885,-6.105
886,-6.11
887,-6.105
888,-6.095
889,-6.07
890,-6.055
891,-6.05
892,-6.045
893,-6.04
894,-6.03
895,-6.025
896,-6.02
897,-6.02
898,-6.01
899,-6.0
900,-6.0
901,-5.985
902,-5.97
903,-5.945
904,-5.92
905,-5.895
906,-5.87
907,-5.84
908,-5.81
909,-5.78
910,-5.745
911,-5.715
912,-5.695
913,-5.67
914,-5.64
915,-5.62
916,-5.59
917,-5.575
918,-5.56
919,-5.555
920,-5.545
921,-5.535
922,-5.54
923,-5.545
924,-5.54
925,-5.555
926,-5.57
927,-5.6
928,-5.615
929,-5.63
930,-5.65
931,-5.665
932,-5.685
933,-5.715
934,-5.735
935,-5.755
936,-5.78
937,-5.805
938,-5.82
939,-5.83
940,-5.825
941,-5.825
942,-5.835
943,-5.845
944,-5.855
945,-5.87
946,-5.88
947,-5.885
948,-5.89
949,-5.895
950,-5.885
951,-5.87
952,-5.87
953,-5.87
954,-5.87
955,-5.875
956,-5.875
957,-5.87
958,-5.86
959,-5.85
960,-5.84
961,-5.84
962,-5.845
963,-5.85
964,-5.835
965,-5.825
966,-5.815
967,-5.805
968,-5.795
969,-5.785
970,-5.78
971,-5.785
972,-5.78
973,-5.76
974,-5.72
975,-5.7
976,-5.695
977,-5.71
978,-5.71
979,-5.71
980,-5.715
981,-5.74
982,-5.755
983,-5.77
984,-5.79
985,-5.815
986,-5.835
987,-5.845
988,-5.88
989,-5.89
990,-5.905
991,-5.92
992,-5.91
993,-5.905
994,-5.895
995,-5.9
996,-5.9
997,-5.9
998,-5.9
999,-5.9
1000,-5.89
1001,-5.885
1002,-5.89
1003,-5.91
1004,-5.915
1005,-5.865
1006,-5.745
1007,-5.6
1008,-5.395
1009,-5.075
1010,-4.67
1011,-4.325
1012,-4.135
1013,-4.075
1014,-4.125
1015,-4.335
1016,-4.68
1017,-5.12
1018,-5.58
1019,-5.98
1020,-6.24
1021,-6.3
1022,-6.29
1023,-6.295
1024,-6.28
1025,-6.26
1026,-6.2
1027,-6.145
1028,-6.105
1029,-6.09
1030,-6.085
1031,-6.085
1032,-6.085
1033,-6.095
1034,-6.095
1035,-6.095
1036,-6.085
1037,-6.08
1038,-6.07
1039,-6.065
1040,-6.07
1041,-6.065
1042,-6.05
1043,-6.035
1044,-6.015
1045,-6.005
1046,-5.99
1047,-5.97
1048,-5.945
1049,-5.92
1050,-5.88
1051,-5.845
1052,-5.805
1053,-5.77
1054,-5.735
1055,-5.71
1056,-5.7
1057,-5.675
1058,-5.64
1059,-5.61
1060,-5.59
1061,-5.58
1062,-5.58
1063,-5.575
1064,-5.565
1065,-5.56
1066,-5.56
1067,-5.565
1068,-5.58
1069,-5.595
1070,-5.615
1071,-5.63
1072,-5.64
1073,-5.66
1074,-5.68
1075,-5.7
1076,-5.715
1077,-5.725
1078,-5.755
1079,-5.78
1080,-5.805
1081,-5.815
1082,-5.815
1083,-5.825
1084,-5.84
1085,-5.85
1086,-5.875
1087,-5.88
1088,-5.885
1089,-5.905
1090,-5.9
1091,-5.9
1092,-5.895
1093,-5.895
1094,-5.91
1095,-5.905
1096,-5.9
1097,-5.905
1098,-5.905
1099,-5.89
1100,-5.88
1101,-5.88
1102,-5.875
1103,-5.86
1104,-5.865
1105,-5.865
1106,-5.865
1107,-5.855
1108,-5.84
1109,-5.83
1110,-5.805
1111,-5.8
1112,-5.785
1113,-5.775
1114,-5.775
1115,-5.78
1116,-5.78
1117,-5.755
1118,-5.74
1119,-5.715
1120,-5.71
1121,-5.72
1122,-5.715
1123,-5.72
1124,-5.73
1125,-5.74
1126,-5.755
1127,-5.775
1128,-5.79
1129,-5.8
1130,-5.81
1131,-5.835
1132,-5.85
1133,-5.88
1134,-5.89
1135,-5.89
1136,-5.89
1137,-5.9
1138,-5.905
1139,-5.9
1140,-5.905
1141,-5.92
1142,-5.915
1143,-5.9
1144,-5.89
1145,-5.89
1146,-5.895
1147,-5.91
1148,-5.905
1149,-5.855
1150,-5.705
1151,-5.565
1152,-5.335
1153,-4.985
1154,-4.595
1155,-4.25
1156,-4.07
1157,-4.01
1158,-4.08
1159,-4.3
1160,-4.64
1161,-5.08
1162,-5.55
1163,-5.955
1164,-6.2
1165,-6.25
1166,-6.24
1167,-6.245
1168,-6.24
1169,-6.21
1170,-6.175
1171,-6.135
1172,-6.11
1173,-6.09
1174,-6.09
1175,-6.07
1176,-6.065
1177,-6.065
1178,-6.07
1179,-6.06
1180,-6.05
1181,-6.055
1182,-6.05
1183,-6.045
1184,-6.035
1185,-6.025
1186,-6.025
1187,-6.03
1188,-6.03
1189,-6.02
1190,-6.0
1191,-5.98
1192,-5.96
1193,-5.935
1194,-5.905
1195,-5.88
1196,-5.845
1197,-5.815
1198,-5.78
1199,-5.75
1200,-5.715
1201,-5.675
1202,-5.635
1203,-5.61
1204,-5.585
1205,-5.565
1206,-5.55
1207,-5.535
1208,-5.525
1209,-5.525
1210,-5.525
1211,-5.535
1212,-5.555
1213,-5.565
1214,-5.575
1215,-5.59
1216,-5.605
1217,-5.625
1218,-5.64
1219,-5.67
1220,-5.695
1221,-5.72
1222,-5.74
1223,-5.755
1224,-5.77
1225,-5.775
1226,-5.785
1227,-5.8
1228,-5.81
1229,-5.82
1230,-5.82
1231,-5.825
1232,-5.84
1233,-5.85
1234,-5.86
1235,-5.86
1236,-5.865
1237,-5.87
1238,-5.875
1239,-5.88
1240,-5.88
1241,-5.88
1242,-5.87
1243,-5.87
1244,-5.875
1245,-5.875
1246,-5.87
1247,-5.865
1248,-5.855
1249,-5.845
1250,-5.84
1251,-5.825
1252,-5.82
1253,-5.81
1254,-5.805
1255,-5.785
1256,-5.77
1257,-5.76
1258,-5.74
1259,-5.74
1260,-5.74
1261,-5.735
1262,-5.73
1263,-5.72
1264,-5.7
1265,-5.68
1266,-5.67
1267,-5.67
1268,-5.675
1269,-5.675
1270,-5.67
1271,-5.685
1272,-5.695
1273,-5.71
1274,-5.73
1275,-5.75
1276,-5.77
1277,-5.785
1278,-5.815
1279,-5.84
1280,-5.86
1281,-5.86
1282,-5.85
1283,-5.855
1284,-5.86
1285,-5.86
1286,-5.87
1287,-5.875
1288,-5.865
1289,-5.86
1290,-5.86
1291,-5.85
1292,-5.85
1293,-5.87
1294,-5.885
1295,-5.865
1296,-5.775
1297,-5.64
1298,-5.48
1299,-5.215
1300,-4.825
1301,-4.425
1302,-4.13
1303,-3.985
1304,-3.955
1305,-4.065
1306,-4.315
1307,-4.68
1308,-5.14
1309,-5.6
1310,-5.975
1311,-6.19
1312,-6.215
1313,-6.2
1314,-6.2
1315,-6.19
1316,-6.155
1317,-6.1
1318,-6.045
1319,-6.03
1320,-6.025
1321,-6.02
1322,-6.015
1323,-6.015
1324,-6.015
1325,-6.015
1326,-6.01
1327,-6.0
1328,-5.995
1329,-5.99
1330,-5.99
1331,-5.99
1332,-5.99
1333,-5.98
1334,-5.975
1335,-5.965
1336,-5.955
1337,-5.935
1338,-5.92
1339,-5.9
1340,-5.88
1341,-5.86
1342,-5.82
1343,-5.79
1344,-5.765
1345,-5.73
1346,-5.695
1347,-5.66
1348,-5.625
1349,-5.6
1350,-5.58
1351,-5.56
1352,-5.535
1353,-5.51
1354,-5.49
1355,-5.48
1356,-5.47
1357,-5.47
1358,-5.465
1359,-5.465
1360,-5.48
1361,-5.49
1362,-5.505
1363,-5.52
1364,-5.53
1365,-5.55
1366,-5.575
1367,-5.6
1368,-5.625
1369,-5.65
1370,-5.67
1371,-5.69
1372,-5.71
1373,-5.715
1374,-5.735
1375,-5.745
1376,-5.76
1377,-5.765
1378,-5.78
1379,-5.79
1380,-5.785
1381,-5.795
1382,-5.8
1383,-5.8
1384,-5.81
1385,-5.815
1386,-5.815
1387,-5.81
1388,-5.805
1389,-5.81
1390,-5.82
1391,-5.82
1392,-5.82
1393,-5.815
1394,-5.81
1395,-5.81
1396,-5.805
1397,-5.8
1398,-5.8
1399,-5.795
1400,-5.79
1401,-5.785
1402,-5.78
1403,-5.77
1404,-5.76
1405,-5.745
1406,-5.73
1407,-5.71
1408,-5.71
1409,-5.7
1410,-5.7
1411,-5.7
1412,-5.695
1413,-5.68
1414,-5.655
1415,-5.64
1416,-5.635
1417,-5.64
1418,-5.645
1419,-5.65
1420,-5.655
1421,-5.655
1422,-5.665
1423,-5.68
1424,-5.7
1425,-5.72
1426,-5.735
1427,-5.76
1428,-5.775
1429,-5.8
1430,-5.82
1431,-5.825
1432,-5.83
1433,-5.83
1434,-5.83
1435,-5.83
1436,-5.835
1437,-5.84
1438,-5.84
1439,-5.835
1440,-5.83
1441,-5.825
1442,-5.83
1443,-5.84
1444,-5.865
1445,-5.845
1446,-5.76
1447,-5.62
1448,-5.46
1449,-5.215
1450,-4.845
1451,-4.445
1452,-4.15
1453,-4.005
1454,-3.98
1455,-4.08
1456,-4.31
1457,-4.675
1458,-5.11
1459,-5.57
1460,-5.955
1461,-6.165
1462,-6.2
1463,-6.19
1464,-6.185
1465,-6.18
1466,-6.14
1467,-6.09
1468,-6.04
1469,-6.01
1470,-6.01
1471,-6.005
1472,-6.0
1473,-6.0
1474,-6.0
1475,-5.995
1476,-5.99
1477,-5.995
1478,-6.0
1479,-6.0
1480,-5.995
1481,-5.99
1482,-5.98
1483,-5.97
1484,-5.965
1485,-5.96
1486,-5.955
1487,-5.94
1488,-5.92
1489,-5.9
1490,-5.88
1491,-5.86
1492,-5.835
1493,-5.8
1494,-5.76
1495,-5.735
1496,-5.7
1497,-5.67
1498,-5.64
1499,-5.61
1500,-5.585
1501,-5.56
1502,-5.54
1503,-5.52
1504,-5.51
1505,-5.485
1506,-5.475
1507,-5.465
1508,-5.465
1509,-5.47
1510,-5.475
1511,-5.49
1512,-5.505
1513,-5.525
1514,-5.545
1515,-5.565
1516,-5.59
1517,-5.61
1518,-5.635
1519,-5.65
1520,-5.675
1521,-5.695
1522,-5.71
1523,-5.73
1524,-5.745
1525,-5.76
1526,-5.775
1527,-5.785
1528,-5.8
1529,-5.81
1530,-5.81
1531,-5.82
1532,-5.825
1533,-5.825
1534,-5.83
1535,-5.84
1536,-5.84
1537,-5.835
1538,-5.835
1539,-5.835
1540,-5.835
1541,-5.83
1542,-5.825
1543,-5.825
1544,-5.815
1545,-5.815
1546,-5.815
1547,-5.81
1548,-5.805
1549,-5.8
1550,-5.79
1551,-5.785
1552,-5.785
1553,-5.78
1554,-5.775
1555,-5.76
1556,-5.745
1557,-5.72
1558,-5.71
1559,-5.7
1560,-5.7
1561,-5.705
1562,-5.7
1563,-5.685
1564,-5.66
1565,-5.64
1566,-5.635
1567,-5.64
1568,-5.64
1569,-5.645
1570,-5.655
1571,-5.66
1572,-5.68
1573,-5.695
1574,-5.705
1575,-5.725
1576,-5.75
1577,-5.77
1578,-5.795
1579,-5.82
1580,-5.84
1581,-5.84
1582,-5.84
1583,-5.84
1584,-5.84
1585,-5.84
1586,-5.84
1587,-5.84
1588,-5.84
1589,-5.835
1590,-5.835
1591,-5.83
1592,-5.835
1593,-5.85
1594,-5.86
1595,-5.825
1596,-5.72
1597,-5.58
1598,-5.42
1599,-5.15
1600,-4.76
1601,-4.37
1602,-4.115
1603,-4.01
1604,-4.01
1605,-4.17
1606,-4.45
1607,-4.84
1608,-5.29
1609,-5.74
1610,-6.055
1611,-6.2
1612,-6.195
1613,-6.195
1614,-6.19
1615,-6.165
1616,-6.115
1617,-6.055
1618,-6.01
1619,-6.0
1620,-5.995
1621,-5.99
1622,-5.99
1623,-5.99
1624,-5.985
1625,-5.985
1626,-5.98
1627,-5.975
1628,-5.97
1629,-5.965
1630,-5.965
1631,-5.965
1632,-5.955
1633,-5.945
1634,-5.935
1635,-5.925
1636,-5.91
1637,-5.89
1638,-5.875
1639,-5.855
1640,-5.835
1641,-5.81
1642,-5.785
1643,-5.75
1644,-5.715
1645,-5.68
1646,-5.65
1647,-5.62
1648,-5.59
1649,-5.56
1650,-5.535
1651,-5.51
1652,-5.49
1653,-5.48
1654,-5.47
1655,-5.465
1656,-5.455
1657,-5.45
1658,-5.45
1659,-5.46
1660,-5.47
1661,-5.485
1662,-5.5
1663,-5.52
1664,-5.54
1665,-5.565
1666,-5.585
1667,-5.61
1668,-5.635
1669,-5.66
1670,-5.68
1671,-5.705
1672,-5.72
1673,-5.745
1674,-5.76
1675,-5.77
1676,-5.78
1677,-5.79
1678,-5.8
1679,-5.805
1680,-5.82
1681,-5.82
1682,-5.83
1683,-5.835
1684,-5.84
1685,-5.84
1686,-5.84
1687,-5.84
1688,-5.84
1689,-5.845
1690,-5.845
1691,-5.84
1692,-5.84
1693,-5.84
1694,-5.84
1695,-5.84
1696,-5.835
1697,-5.83
1698,-5.83
1699,-5.82
1700,-5.82
1701,-5.815
1702,-5.805
1703,-5.8
1704,-5.78
1705,-5.765
1706,-5.76
1707,-5.75
1708,-5.74
1709,-5.74
1710,-5.74
1711,-5.725
1712,-5.71
1713,-5.685
1714,-5.67
1715,-5.67
1716,-5.68
1717,-5.68
1718,-5.68
1719,-5.685
1720,-5.69
1721,-5.7
1722,-5.72
1723,-5.735
1724,-5.75
1725,-5.775
1726,-5.8
1727,-5.82
1728,-5.84
1729,-5.85
1730,-5.86
1731,-5.865
1732,-5.875
1733,-5.88
1734,-5.88
1735,-5.88
1736,-5.875
1737,-5.875
1738,-5.87
1739,-5.87
1740,-5.87
1741,-5.875
1742,-5.895
1743,-5.89
1744,-5.815
1745,-5.69
1746,-5.555
1747,-5.35
1748,-5.015
1749,-4.615
1750,-4.265
1751,-4.075
1752,-4.025
1753,-4.105
1754,-4.345
1755,-4.68
1756,-5.115
1757,-5.575
1758,-5.97
1759,-6.205
1760,-6.265
1761,-6.255
1762,-6.245
1763,-6.235
1764,-6.195
1765,-6.13
1766,-6.075
1767,-6.04
1768,-6.04
1769,-6.035
1770,-6.025
1771,-6.02
1772,-6.01
1773,-6.005
1774,-6.0
1775,-6.0
1776,-5.995
1777,-5.99
1778,-5.985
1779,-5.98
1780,-5.98
1781,-5.98
1782,-5.975
1783,-5.965
1784,-5.96
1785,-5.945
1786,-5.925
1787,-5.905
1788,-5.875
1789,-5.845
1790,-5.815
1791,-5.78
1792,-5.75
1793,-5.72
1794,-5.68
1795,-5.655
1796,-5.625
1797,-5.6
1798,-5.58
1799,-5.555
1800,-5.54
1801,-5.52
1802,-5.505
1803,-5.495
1804,-5.485
1805,-5.48
1806,-5.48
1807,-5.49
1808,-5.5
1809,-5.515
1810,-5.525
1811,-5.54
1812,-5.555
1813,-5.575
1814,-5.595
1815,-5.62
1816,-5.645
1817,-5.67
1818,-5.69
1819,-5.705
1820,-5.725
1821,-5.745
1822,-5.76
1823,-5.775
1824,-5.79
1825,-5.8
1826,-5.81
1827,-5.815
1828,-5.825
1829,-5.83
1830,-5.835
1831,-5.84
1832,-5.84
1833,-5.845
1834,-5.86
1835,-5.86
1836,-5.86
1837,-5.865
1838,-5.865
1839,-5.865
1840,-5.86
1841,-5.85
1842,-5.845
1843,-5.84
1844,-5.84
1845,-5.835
1846,-5.825
1847,-5.82
1848,-5.815
1849,-5.8
1850,-5.795
1851,-5.77
1852,-5.76
1853,-5.76
1854,-5.75
1855,-5.755
1856,-5.75
1857,-5.745
1858,-5.735
1859,-5.71
1860,-5.69
1861,-5.685
1862,-5.69
1863,-5.685
1864,-5.68
1865,-5.675
1866,-5.685
1867,-5.695
1868,-5.715
1869,-5.73
1870,-5.745
1871,-5.765
1872,-5.79
1873,-5.81
